entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-01-04 12:11:00.000000000	33110.0	2024-01-04 13:10:00.000000000	33190.0	-100.0	SHORT	HORIZON
2024-01-05 02:19:00.000000000	33415.0	2024-01-05 02:27:00.000000000	33444.2	9.2	LONG	TP
2024-01-05 12:57:00.000000000	33510.0	2024-01-05 13:19:00.000000000	33539.9	9.9	LONG	TP
2024-01-05 18:52:00.000000000	33370.0	2024-01-05 19:19:00.000000000	33388.4	-1.6	LONG	TP
2024-01-09 04:51:00.000000000	33455.0	2024-01-09 05:55:00.000000000	33475.0	0.0	LONG	HORIZON
2024-01-09 12:59:00.000000000	33755.0	2024-01-09 13:09:00.000000000	33722.9	12.1	SHORT	TP
2024-01-09 22:31:00.000000000	33340.0	2024-01-09 22:42:00.000000000	33358.1	-1.9	LONG	TP
2024-01-10 02:50:00.000000000	33900.0	2024-01-10 03:08:00.000000000	33885.2	-5.2	SHORT	TP
2024-01-10 11:53:00.000000000	34370.0	2024-01-10 12:12:00.000000000	34401.6	11.6	LONG	TP
2024-01-10 17:27:00.000000000	33800.0	2024-01-10 18:26:00.000000000	33725.0	-95.0	LONG	HORIZON
2024-01-11 05:15:00.000000000	34835.0	2024-01-11 05:54:00.000000000	34850.4	-4.6	LONG	TP
2024-01-11 13:41:00.000000000	35010.0	2024-01-11 14:08:00.000000000	35110.0	-120.0	SHORT	SL
2024-01-12 02:10:00.000000000	35095.0	2024-01-12 03:11:00.000000000	35120.0	5.0	LONG	HORIZON
2024-01-12 14:42:00.000000000	35580.0	2024-01-12 15:06:00.000000000	35628.8	28.8	LONG	TP
2024-01-12 21:11:00.000000000	35320.0	2024-01-12 21:35:00.000000000	35339.3	-0.7	LONG	TP
2024-01-15 08:46:00.000000000	35585.0	2024-01-15 08:52:00.000000000	35605.3	0.3	LONG	TP
2024-01-15 15:01:00.000000000	35940.0	2024-01-15 16:30:00.000000000	35909.7	10.3	SHORT	TP
