entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-01-04T11:59:00+09:00	33270.0	0	33195.4	54.6	SHORT	TP
2024-01-04T23:33:00+09:00	33265.0	540	33235.3	9.7	SHORT	TP
2024-01-05T13:46:00+09:00	33295.0	0	33300.8	-14.2	LONG	TP
2024-01-05T22:20:00+09:00	33540.0	0	33534.8	-14.8	SHORT	TP
2024-01-10T12:19:00+09:00	33920.0	60	33915.7	-24.3	LONG	TRAILING_SL
2024-01-10T21:46:00+09:00	34375.0	0	34381.8	-13.2	LONG	TP
2024-01-11T07:30:00+09:00	33715.0	3540	33665.0	-70.0	LONG	HORIZON
2024-01-11T14:42:00+09:00	34825.0	480	34823.5	-21.5	LONG	TRAILING_SL
2024-01-11T18:50:00+09:00	34990.0	180	35029.8	-59.8	SHORT	TRAILING_SL
2024-01-11T23:58:00+09:00	35100.0	5760	34495.0	585.0	SHORT	HORIZON
2024-01-12T11:30:00+09:00	35015.0	0	35036.7	1.7	LONG	TP
2024-01-13T07:55:00+09:00	35225.0	180	35205.9	-39.1	LONG	TRAILING_SL
2024-01-15T13:03:00+09:00	35640.0	360	35647.3	-12.7	LONG	TP
2024-01-15T23:35:00+09:00	35905.0	120	35895.4	-10.4	SHORT	TP
2024-01-16T17:46:00+09:00	36010.0	3540	35800.0	190.0	SHORT	HORIZON
2024-01-16T22:18:00+09:00	35690.0	60	35682.2	-27.8	LONG	TRAILING_SL
2024-01-17T12:39:00+09:00	35865.0	60	35860.9	-24.1	LONG	TRAILING_SL
2024-01-17T20:17:00+09:00	35760.0	180	35715.7	-64.3	LONG	TRAILING_SL
2024-01-18T00:01:00+09:00	35515.0	5640	35685.0	150.0	LONG	HORIZON
2024-01-18T14:01:00+09:00	35440.0	0	35430.6	-29.4	LONG	TRAILING_SL
2024-01-18T21:32:00+09:00	35650.0	60	35668.8	-38.8	SHORT	TRAILING_SL
2024-01-19T03:10:00+09:00	35420.0	120	35419.6	-20.4	LONG	TRAILING_SL
2024-01-19T07:51:00+09:00	35375.0	3540	35375.0	-20.0	LONG	HORIZON
2024-01-19T18:11:00+09:00	35905.0	60	35877.5	-47.5	LONG	TRAILING_SL
2024-01-20T02:09:00+09:00	35610.0	0	35595.7	-34.3	LONG	TRAILING_SL
2024-01-22T13:32:00+09:00	36300.0	3540	36300.0	-20.0	LONG	HORIZON
2024-01-22T21:21:00+09:00	36350.0	180	36342.3	-27.7	LONG	TRAILING_SL
2024-01-23T03:44:00+09:00	35950.0	480	35957.5	-12.5	LONG	TP
2024-01-23T13:23:00+09:00	36625.0	60	36617.2	-27.8	LONG	TRAILING_SL
2024-01-23T21:10:00+09:00	36890.0	0	36915.9	-45.9	SHORT	TRAILING_SL
2024-01-24T19:24:00+09:00	36410.0	60	36426.7	-3.3	LONG	TP
2024-01-24T23:41:00+09:00	36275.0	0	36260.9	-34.1	LONG	TRAILING_SL
2024-01-25T18:01:00+09:00	36225.0	3540	36110.0	95.0	SHORT	HORIZON
2024-01-26T04:00:00+09:00	36270.0	240	36262.4	-12.4	SHORT	TP
2024-01-26T18:46:00+09:00	35980.0	0	35997.7	-2.3	LONG	TP
2024-01-26T23:51:00+09:00	35800.0	6240	36185.0	365.0	LONG	HORIZON
2024-01-27T06:09:00+09:00	36145.0	0	36141.6	-23.4	LONG	TRAILING_SL
2024-01-29T11:36:00+09:00	35980.0	0	35970.6	-29.4	LONG	TRAILING_SL
2024-01-30T14:01:00+09:00	36065.0	13920	36175.0	90.0	LONG	HORIZON
2024-01-30T22:22:00+09:00	36195.0	3540	36110.0	65.0	SHORT	HORIZON
2024-01-31T17:54:00+09:00	35745.0	240	35725.6	-39.4	LONG	TRAILING_SL
2024-01-31T23:31:00+09:00	36145.0	0	36158.2	-33.2	SHORT	TRAILING_SL
2024-02-01T13:15:00+09:00	35920.0	0	35906.5	-33.5	LONG	TRAILING_SL
2024-02-01T22:03:00+09:00	35960.0	0	35948.4	-8.4	SHORT	TP
2024-02-02T12:12:00+09:00	36040.0	360	36035.8	-24.2	LONG	TRAILING_SL
2024-02-02T22:31:00+09:00	36265.0	240	36253.7	-8.7	SHORT	TP
2024-02-05T17:47:00+09:00	36445.0	3540	36305.0	120.0	SHORT	HORIZON
2024-02-05T23:15:00+09:00	36380.0	120	36398.1	-38.1	SHORT	TRAILING_SL
2024-02-06T06:35:00+09:00	36180.0	0	36175.7	-15.7	SHORT	TP
2024-02-06T14:08:00+09:00	36350.0	0	36357.7	-27.7	SHORT	TRAILING_SL
2024-02-06T23:32:00+09:00	36275.0	7320	36365.0	-110.0	SHORT	HORIZON
2024-02-07T13:41:00+09:00	35895.0	0	35901.9	-13.1	LONG	TP
2024-02-07T21:43:00+09:00	35905.0	3540	36095.0	-210.0	SHORT	HORIZON
2024-02-08T17:46:00+09:00	36315.0	3540	36365.0	30.0	LONG	HORIZON
2024-02-13T11:17:00+09:00	37485.0	3540	37575.0	70.0	LONG	HORIZON
2024-02-13T19:20:00+09:00	37555.0	0	37167.1	-407.9	LONG	TRAILING_SL
2024-02-13T23:45:00+09:00	37910.0	0	37305.7	-624.3	LONG	TRAILING_SL
2024-02-14T03:41:00+09:00	37220.0	0	37102.7	-137.3	LONG	TRAILING_SL
2024-02-14T07:32:00+09:00	37085.0	0	37199.1	94.1	LONG	TP
2024-02-14T14:23:00+09:00	37540.0	60	37539.5	-20.5	LONG	TRAILING_SL
2024-02-14T20:20:00+09:00	37650.0	180	37627.0	-43.0	LONG	TRAILING_SL
2024-02-15T05:01:00+09:00	38025.0	60	38038.9	-33.9	SHORT	TRAILING_SL
2024-02-15T11:54:00+09:00	37930.0	60	37945.9	-4.1	LONG	TP
2024-02-15T21:21:00+09:00	38020.0	420	38008.4	-8.4	SHORT	TP
2024-02-16T03:57:00+09:00	37965.0	60	37955.0	-10.0	SHORT	TP
2024-02-16T07:44:00+09:00	37925.0	60	37938.9	-33.9	SHORT	TRAILING_SL
2024-02-16T11:11:00+09:00	38425.0	120	38444.2	-0.8	LONG	TRAILING_SL
2024-02-16T19:52:00+09:00	38435.0	180	38382.3	-72.7	LONG	TRAILING_SL
2024-02-17T01:44:00+09:00	38195.0	3540	38225.0	10.0	LONG	HORIZON
2024-02-17T05:49:00+09:00	38225.0	840	38237.8	-7.2	LONG	TRAILING_SL
2024-02-19T13:46:00+09:00	38445.0	0	38433.6	-31.4	LONG	TRAILING_SL
2024-02-19T21:33:00+09:00	38365.0	0	38374.7	-10.3	LONG	TP
2024-02-20T06:50:00+09:00	38635.0	0	38643.6	-28.6	SHORT	TRAILING_SL
2024-02-21T01:31:00+09:00	38440.0	60	38448.6	-11.4	LONG	TP
