 2024-01-04: n_trades: 2, win_rate: 0.5, pf: 3.6666666666666665, pnl: 80.0, avg_pnl: 40.0, score: 1.2751390133662133, threshold_trade: 0.4839111328125, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 39, trades: []
 2024-01-05: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.34662001883657806, pnl: -33.0, avg_pnl: -11.361835479736328, score: -0.29547567175248485, threshold_trade: 0.46142578125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 38, trades: []
 2024-01-09: n_trades: 4, win_rate: 0.25, pf: 0.42070928915349864, pnl: -52.0, avg_pnl: -13.210543632507324, score: -0.2499553969849208, threshold_trade: 0.366455078125, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 101, trades: []
 2024-01-10: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 71.0, avg_pnl: 35.50794982910156, score: 1.8697056579754636, threshold_trade: 0.5147851562499994, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 24, trades: []
 2024-01-11: n_trades: 2, win_rate: 0.5, pf: 0.6341970409103317, pnl: -10.0, avg_pnl: -5.234840393066406, score: -0.17447458955723902, threshold_trade: 0.45556640625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 27, trades: []
 2024-01-12: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -94.0, avg_pnl: -47.3046875, score: -1.63658296317957, threshold_trade: 0.5244140625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 5, trades: []
 2024-01-15: n_trades: 3, win_rate: 0.6666666666666666, pf: 1.047193968228664, pnl: 1.0, avg_pnl: 0.4457003176212311, score: -0.09357837980840451, threshold_trade: 0.50634765625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 43, trades: []
 2024-01-16: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -33.0, avg_pnl: -33.93359375, score: -1.0541609591717476, threshold_trade: 0.58056640625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 1, trades: []
 2024-01-17: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.5668048196998048, pnl: -25.0, avg_pnl: -8.66672420501709, score: -0.19763544878995237, threshold_trade: 0.41357421875, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 54, trades: []
 2024-01-18: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 47.0, avg_pnl: 23.642074584960938, score: 1.8670478318512267, threshold_trade: 0.5, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 35, trades: []
 2024-01-19: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 140.0, avg_pnl: 46.84552001953125, score: 2.3781051262626804, threshold_trade: 0.415771484375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 68, trades: []
 2024-01-22: n_trades: 2, win_rate: 0.5, pf: 0.6986967633246793, pnl: -13.0, avg_pnl: -6.743425369262695, score: -0.1790949058432287, threshold_trade: 0.459228515625, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 89, trades: []
 2024-01-23: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 14.0, avg_pnl: 14.073905944824219, score: 0.024594798522235575, threshold_trade: 0.5927734375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 13, trades: []
 2024-01-24: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 285.0, avg_pnl: 142.5, score: 1.8705700559727685, threshold_trade: 0.418212890625, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 21, trades: []
 2024-01-25: n_trades: 2, win_rate: 0.5, pf: 2.020748759585025, pnl: 35.0, avg_pnl: 17.6796875, score: -0.06876937345619624, threshold_trade: 0.62353515625, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 14, trades: []
 2024-01-26: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -104.0, avg_pnl: -34.88671875, score: -2.0167676243438883, threshold_trade: 0.46337890625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 50, trades: []
 2024-01-29: n_trades: 2, win_rate: 0.5, pf: 1.2965847681130573, pnl: 9.0, avg_pnl: 4.547246932983398, score: -0.12284849986627074, threshold_trade: 0.445556640625, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 35, trades: []
 2024-01-30: n_trades: 2, win_rate: 0.5, pf: 0.8864718515161306, pnl: -4.0, avg_pnl: -2.3162403106689453, score: -0.11187540921658133, threshold_trade: 0.52734375, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 23, trades: []
 2024-01-31: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -37.0, avg_pnl: -37.48046875, score: -1.0603129022613216, threshold_trade: 0.53515625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 24, trades: []
 2024-02-01: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 66.0, avg_pnl: 22.039291381835938, score: 0.09450440193799739, threshold_trade: 0.451171875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 60, trades: []
 2024-02-02: n_trades: 3, win_rate: 0.6666666666666666, pf: 0.6871596563430059, pnl: -32.0, avg_pnl: -10.94941234588623, score: -0.16606562843909062, threshold_trade: 0.382080078125, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 100, trades: []
 2024-02-05: n_trades: 4, win_rate: 0.75, pf: 3.5653063054251435, pnl: 96.0, avg_pnl: 24.012168884277344, score: 1.9525368114179709, threshold_trade: 0.61521484375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 33, trades: []
 2024-02-06: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -184.0, avg_pnl: -92.5, score: -1.6794401060367128, threshold_trade: 0.5419921875, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 74, trades: []
 2024-02-07: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -82.0, avg_pnl: -41.06640625, score: -1.6784049093493423, threshold_trade: 0.4428710937499999, threshold_dir: 0.75, min_dir_conf: 0.75, raw_signals_count: 70, trades: []
 2024-02-08: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 66.0, avg_pnl: 22.0129337310791, score: 0.13820195706385796, threshold_trade: 0.501953125, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 18, trades: []
 2024-02-09: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -93.0, avg_pnl: -31.25130271911621, score: -2.041288809791321, threshold_trade: 0.474365234375, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 151, trades: []
 2024-02-13: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -139.0, avg_pnl: -70.0, score: -1.6824783164327828, threshold_trade: 0.5234375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 90, trades: []
 2024-02-14: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.2370351005561701, pnl: -109.0, avg_pnl: -36.37196731567383, score: -0.3117813897330199, threshold_trade: 0.5009765625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 95, trades: []
 2024-02-15: n_trades: 4, win_rate: 0.5, pf: 0.9542726407091439, pnl: -3.0, avg_pnl: -0.8126430511474609, score: -0.1830467781313884, threshold_trade: 0.505, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 164, trades: []
