entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-01-04T11:07:00+09:00	33215.0	1800	33250.0	-1100.0	SHORT	HORIZON	-1100.0
2024-01-04T13:00:00+09:00	33290.0	360	33138.4	2633.0	SHORT	TP	1533.0
2024-01-04T17:46:00+09:00	33005.0	900	32905.0	-2400.5	LONG	TRAILING_SL	-867.5
2024-01-04T21:37:00+09:00	33100.0	1800	33150.0	-1400.0	SHORT	HORIZON	-2267.5
2024-01-05T02:15:00+09:00	33315.0	1800	33515.0	-4400.0	SHORT	HORIZON	-6667.5
2024-01-05T05:08:00+09:00	33510.0	1800	33185.0	6100.0	SHORT	HORIZON	-567.5
2024-01-05T06:37:00+09:00	33440.0	1800	33180.0	4800.0	SHORT	HORIZON	4232.5
2024-01-05T18:06:00+09:00	33265.0	1800	33350.0	-3150.0	SHORT	HORIZON	1082.5
2024-01-06T02:01:00+09:00	33260.0	1800	33325.0	-850.0	SHORT	HORIZON	232.5
2024-01-09T17:46:00+09:00	33790.0	180	33808.7	-774.3	SHORT	TRAILING_SL	-541.8
2024-01-10T18:24:00+09:00	33965.0	480	34100.1	3454.0	LONG	TRAILING_SL	2912.2
2024-01-12T18:02:00+09:00	35480.0	1800	35520.0	-1800.0	SHORT	HORIZON	1112.2
2024-01-16T17:57:00+09:00	35935.0	180	35931.9	-692.0	LONG	TRAILING_SL	420.2
2024-01-16T21:43:00+09:00	35645.0	180	35633.0	-960.2	LONG	TRAILING_SL	-540.0
2024-01-17T02:06:00+09:00	36000.0	180	36013.3	-665.7	SHORT	TRAILING_SL	-1205.7
2024-01-17T19:26:00+09:00	36200.0	240	36219.6	-1189.2	SHORT	TRAILING_SL	-2395.0
2024-01-17T21:36:00+09:00	35755.0	240	35735.8	-1177.1	LONG	TRAILING_SL	-3572.1
2024-01-17T23:48:00+09:00	35640.0	6120	35676.1	481.6	LONG	TP	-3090.5
2024-01-18T22:53:00+09:00	35420.0	1800	35460.0	-600.0	SHORT	HORIZON	-3690.5
2024-01-19T18:11:00+09:00	35905.0	480	35955.5	916.3	LONG	TP	-2774.2
2024-01-20T02:13:00+09:00	35605.0	1680	35589.6	-707.8	LONG	TRAILING_SL	-3482.0
2024-01-22T17:47:00+09:00	36435.0	1800	36410.0	-1350.0	LONG	HORIZON	-4832.0
2024-01-23T00:00:00+09:00	36580.0	540	36569.9	-902.0	LONG	TRAILING_SL	-5734.0
2024-01-23T18:02:00+09:00	36735.0	900	36705.0	300.0	SHORT	TP	-5434.0
2024-01-23T21:58:00+09:00	36440.0	180	36528.0	1359.8	LONG	TP	-4074.2
2024-01-24T17:52:00+09:00	36415.0	480	36466.5	629.5	LONG	TRAILING_SL	-3444.7
2024-01-24T19:54:00+09:00	36295.0	240	36276.5	-1153.6	LONG	TRAILING_SL	-4598.3
2024-01-24T21:46:00+09:00	36150.0	780	36180.0	200.0	LONG	TP	-4398.3
2024-01-25T20:28:00+09:00	36170.0	1020	36125.5	735.0	SHORT	TP	-3663.3
2024-01-26T02:12:00+09:00	36395.0	300	36365.0	100.0	SHORT	TP	-3563.3
2024-01-26T13:29:00+09:00	36060.0	2040	36110.0	-700.0	SHORT	HORIZON	-4263.3
2024-01-26T18:14:00+09:00	35845.0	240	35862.1	-741.1	SHORT	TRAILING_SL	-5004.4
2024-01-26T22:21:00+09:00	35770.0	180	35740.0	200.0	SHORT	TP	-4804.4
2024-01-29T17:49:00+09:00	35805.0	300	35835.0	100.0	LONG	TP	-4704.4
2024-01-29T20:01:00+09:00	36080.0	1800	36075.0	-300.0	SHORT	HORIZON	-5004.4
2024-01-30T14:02:00+09:00	36075.0	180	36069.5	-255.1	LONG	TRAILING_SL	-5259.5
2024-01-30T18:45:00+09:00	36130.0	300	36107.0	-860.3	LONG	TRAILING_SL	-6119.8
2024-01-31T20:33:00+09:00	35860.0	480	35867.9	-279.3	SHORT	TRAILING_SL	-6399.0
2024-02-01T02:10:00+09:00	35915.0	1800	35970.0	-750.0	SHORT	HORIZON	-7149.0
2024-02-01T13:40:00+09:00	35995.0	720	35963.2	236.7	SHORT	TP	-6912.3
2024-02-01T18:01:00+09:00	36010.0	1800	36060.0	-2100.0	SHORT	HORIZON	-9012.3
